Objetos,RA,DEC,z,Tipos
AM 0034-351,00 37 04.664,-34 56 24.26,0.029657,E.Rb
AM 0045-230,00 47 34.795,-22 48 00.24,0.021872,E.Ra
AM 0053-353,00 56 19.563,-35 14 52.31,0.047947,HL
AM 0054-634,00 56 51.290,-63 28 51.88,0.0374,E.Ra
AM 0058-220,01 00 46.9,-21 43 27,–,E.Rc
AM 0058-311,01 00 44.610,-30 55 49.16,0.07776,E.Ra
AM 0058-665,01 00 15.172,-66 37 06.99,0.070232,E.Rb
AM 0102-610,01 04 56.5,-60 48 58,–,E.Rc
AM 0103-304,01 06 10.322,-30 28 29.16,0.022139,H
AM 0115-463,01 18 10.151,-46 14 32.27,0.059628,E.Rb
AM 0126-525,01 28 25.324,-52 38 09.24,0.011508,E.Rc
AM 0126-680,01 28 02.912,-67 50 36.79,0.023753,H
AM 0141-362,01 43 44.404,-36 05 19.76,0.017692,HL
AM 0147-350,01 49 43.711,-34 49 51.74,0.0275,H
AM 0154-353,01 57 06,-35 18 54,–,E.Rc
AM 0155-815,01 53 54,-81 38.3,–,E.Rb
AM 0157-311,01 59 37,-31 01.3,0.05918,E.Rc
AM 0200-581,02 01 50.57,-57 56 53.6,0.02355,E.Rc
AM 0212-250,02 14 49.193,-24 51 02.49,0.037836,E.Ra
AM 0229-444,02 31 38.764,-44 31 27.37,0.017829,HL
AM 0240-242,02 42 32.171,-24 13 51.53,0.084422,E.Rc
AM 0318-610,03 19 37.8,-60 57 03,–,E.Rc
AM 0329-715,03 29 43.7,-71 45 25,–,H
AM 0401-641,04 01 42.788,-64 05 44.92,–,E.Rb
AM 0403-555,04 04 16.406,-55 46 23,–,E.Rb
AM 0404-271,04 06 29.394,-27 09 24.67,0.088204,E.Rc
AM 0411-680,04 11 20.589,-67 55 14.63,0.054321,E.Rb
AM 0412-525,04 13 50.5,-52 47 43,–,H
AM 0413-590,04 14 27.1,-58 57 57,–,E.Ra
AM 0417-391,04 19 38.992,-39 10 25.70,0.050585,E.Rc
AM 0420-440,04 22 12.848,-43 58 17.36,0.014917,H
AM 0425-421,04 26 36.896,-42 05 37.25,–,HL
AM 0437-314,04 39 40.556,-31 42 38.03,–,E.Rc
AM 0437-644,04 37 54.1,-64 39 01,–,E.Ra
AM 0438-503,04 39 20.825,-50 31 50.56,–,E.Rc
AM 0438-530,04 39 37,-53 00 42.7,–,H
AM 0507-512,05 08 28.239,-51 21 28.75,–,E.Ra
AM 0521-434,05 22 30.619,-43 46 16.56,0.081023,E.Ra
AM 0530-421,05 31 40.862,-42 09 54.69,0.048634,H
AM 0544-393,05 45 51.090,-39 29 39.29,0.024017,HL
AM 0545-434,05 47 00.9,-43 44 47,–,E.Rc
AM 0628-632,06 28 57.9,-63 29 39.8,0.046599,HL
AM 0642-645,06 42 33.1,-64 59 48,–,E.Rc
AM 0642-801,06 38 37.950,-80 14 49.34,0.015934,E.Rb
AM 0643-462,06 45 03.508,-46 26 56.25,0.040078,E.Rb
AM 0755-785,07 53 31.9,-79 06 31,–,E.Rc
AM 0814-760,08 13 31.683,-76 17 29.08,0.034567,E.Rc
AM 1003-215,10 05 41,-22 05.9,–,E.Rc
AM 1025-370,10 27 13.6,-37 25 22,–,CS
AM 1035-260,10 37 29.081,-26 19 01.44,0.011168,HL
AM 1132-324,11 35 20.424,-33 02 03.21,0.034937,HL
AM 1133-245,11 35 30.923,-25 08 42.28,0.03893,E.Rb
AM 1135-284,11 37 41,-29 04.6,0.1016,E.Ra
AM 1152-421,11 55 23.2,-42 29 18,0.015401,E.Ra
AM 1159-530,12 01 36.178,-53 21 27.50,0.01458,E.Ra
AM 1249-462,12 52 39.0,-46 38 59,0.019857,E.Rc
AM 1251-283,12 54 41.027,-28 53 01.74,0.044584,H
AM 1300-412,13 03 06,-41 43.0,0.011411,E.Rc
AM 1308-253,13 11 08.888,-25 53 58.68,0.044898,E.Rb
AM 1320-265,13 23 05.936,-27 12 24.98,0.052736,HL
AM 1323-222,13 26 20.497,-22 37 52.65,0.015434,H
AM 1323-293,13 26 47.223,-29 52 52.82,0.013686,E.Ra
AM 1325-251,13 27 58.224,-25 31 48.46,0.036392,E.Rc
AM 1325-292,13 27 54.316,-29 37 04.84,0.014597,E.Rb
AM 1354-250,13 57 13.934,-25 14 45.13,0.020681,HL
AM 1356-261,13 58 55.005,-26 32 46.71,0.018269,HL
AM 1408-364,14 11 43.118,-37 01 11.23,0.026695,E.Ra
AM 1413-243,14 16 09.529,-24 50 31.05,0.046566,HL
AM 1452-234,14 55 09.869,-23 58 10.11,0.040862,E.Ra
AM 1514-362,15 17 45,-36 35.1,–,E.Rc
AM 1627-824,16 37 57,-82 51.3,–,E.Ra
AM 1646-795,16 55 30.509,-80 05 48.24,–,H
AM 1806-852,18 22 17.388,-85 24 07.42,0.008578,E.Rc
AM 1827-625,18 31 58,-62 55.9,0.013631,E.Rc
AM 1854-490,18 58 06.790,-49 00 40.87,0.014176,E.Rb
AM 1947-445,19 51 23,-44 51.6,–,E.Rb
AM 1953-260,19 56 28.608,-25 54 53.86,–,CS
AM 1957-394,20 00 36.0,-39 38 54,–,H
AM 2002-563,20 06 49.914,-56 23 23.68,0.014447,HL
AM 2005-282,20 08 39.207,-28 16 12.63,0.046602,H
AM 2012-282,20 15 12,-28 18.4,0.023516,E.Rc
AM 2021-724,20 26 31.4,-72 36 35,–,E.Rc
AM 2026-424,20 29 31.9,-42 30 15,0.051916,E.Ra
AM 2033-260,20 36 23,-25 57.1,–,E.Rb
AM 2034-483,20 38 07.4,-48 23 03,–,E.Rb
AM 2044-691,20 48 56.8,-69 05 31,0.037196,E.Rc
AM 2049-522,20 52 38.342,-52 13 44.88,,H
AM 2056-392,21 00 07.8,-39 17 58,–,E.Rc
AM 2100-725,21 05 38.745,-72 47 09.20,–,H
AM 2106-641,21 10 20,-64 02.6,0.093698,HL
AM 2128-302,21 31 08.7,-30 16 16,–,E.Rb
AM 2131-254,21 34 30.24,-25 28 43.7,–,HL
AM 2131-495,21 34 37.602,-49 42 45.11,0.07216,HL
AM 2134-471,21 37 28.184,-47 02 09.04,0.030868,E.Ra
AM 2136-492,21 39 25.635,-49 09 37.00,–,H
AM 2141-515,21 45 15.139,-51 41 53.03,–,E.Rb
AM 2152-592,21 56 17.8,-59 07 17,0.074335,E.Rc
AM 2155-263,21 58 38.430,-26 22 40.28,0.070926,E.Rc
AM 2159-330,22 02 44.495,-32 48 11.09,0.008906,HL
AM 2200-715,22 04 57.935,-71 42 14.27,–,E.Ra
AM 2201-230,22 04 19.395,-22 47 32.88,0.07223,E.Ra
AM 2220-493,22 23 13.476,-49 17 45.63,–,E.Rb
AM 2238-541,22 41 57.7,-53 59 45,–,HL
AM 2240-304,22 43 36.834,-30 28 50.17,0.058205,H
AM 2302-322,23 05 26,-32 08.6,0.060482,E.Rb
AM 2311-425,23 13 53.181,-42 36 15.31,0.057873,H
AM 2313-261,23 15 46.765,-25 54 19.47,0.021625,E.Rc
AM 2323-512,23 26 31.824,-51 08 07.08,–,E.Rb
AM 2338-312,23 41 22.0,-31 03 12,–,H
ARP 010,02 18 26.396,+05 39 13.97,0.030381,E.Ra
ARP 107,10 52 14.916,+30 03 28.93,0.033176,E.Ra
NGC 1142,02 55 12.231,-00 11 00.807,0.02903,E.Ra
ARP 141,07 14 20.4,+73 28 37,0.009036,E.Rc
ARP 143,07 46 53.047,+39 01 54.97,0.013393,E.Ra
ARP 145,02 23 11.424,+41 22 04.77,0.018096,E.Rc
ARP 146,00 06 44.799,-06 38 13.61,0.07544,E.Rc
ARP 147,03 11 18.90,+01 18 53.0,0.032209,E.Rc
ARP 148,11 03 53.892,+40 50 59.89,0.034524,E.Rc
ARP 150,23 19 30.066,+09 30 29.57,0.039644,E.Rc
ARP 219,03 39 53.316,-02 06 47.15,0.035094,E.Rc
ARP 284,23 36 19,+02 09.3,0.009349,E.Rc
ARP 318,02 09 31.3,-10 09 31,0.0132,HL
ARP 335,11 04 23.569,+04 49 42.87,0.025698,E.Ra
ESO 109-IG23,22 48 33.552,-66 43 16.40,0.037026,E.Rc
ESO 146-IG 029,22 29 19.570,-58 24 40.75,–,E.Rb
ESO 200-IG 009,03 21 40.668,-51 39 29.67,0.0578,H
ESO 202-G01,04 16 30.075,-47 50 55.77,0.03362,E.Rb
ESO 232-G04,19 22 46.787,-51 00 08.64,0.016515,HL
ESO 239-IG02,22 49 39.888,-48 50 57.91,0.043033,E.Rc
ESO 299-IG01,02 25 14.183,-40 25 26.85,0.01932,E.Rc
ESO 305-G21,05 22 42.609,-39 03 47.35,0.050415,E.Ra
ESO 341-G02,20 39 04.365,-41 10 53.05,0.039614,HL
ESO 365-G16,06 25 10.523,-37 20 24.81,0.035338,HL
ESO 474-G16,00 42 52.793,-23 32 27.65,0.022229,HL
ESO 500-G41,10 26 56.305,-24 05 21.24,0.011928,HL
ESO 578-G14,14 01 08.324,-22 33 34.29,0.036872,HL
FM 117-4,03 40 37.982,-62 46 50.67,–,E.Rb
FM 186-16,20 27 54.075,-54 37 58.96,0.027019,H
FM 188-15,21 49 09,-54 18.0,–,E.Rc
FM 188-8,21 36 11.257,-53 41 24.54,–,H
FM 197-28,02 17 15,-48 42.6,–,HL
FM 197-8,01 50 28.740,-47 09 57.48,0.020714,HL
FM 198-15,02 29 16.076,-48 29 28.56,0.018186,HL
FM 235-17,21 10 31.216,-47 30 32.05,0.016878,HL
FM 251-10,04 30 21.286,-45 01 35.17,0.065545,H
FM 251-47,04 57 01.7,-46 45 01,–,CS
FM 265-16,11 20 48.029,-43 15 50.66,0.056576,HL
FM 298-9,02 09 43,-37 33.1,–,H
FM 3-5,01 52 42.235,-81 37 52.19,–,E.Rb
FM 3-7,03 01 43.3,-82 35 36,0.015758,CS
FM 316-19,10 09 05.537,-38 24 34.65,0.016488,E.Ra
FM 316-24,10 11 02.175,-39 41 36.63,0.016305,E.Ra
FM 327-23,15 00 34.168,-40 48 36.44,0.0386,H
FM 327-6,14 43 49.237,-37 06 57.38,0.024934,CS
FM 358-11,03 35 20.318,-32 36 08.52,0.003976,HL
FM 363-11,05 47 22.158,-35 49 27.39,0.046315,E.Rb
FM 409-16,23 56 24.58,-29 01 21.8,0.0302,E.Rb
FM 424-20,05 49 29.879,-33 03 42.71,0.035995,H
FM 438-21,11 18 35.284,-27 59 58.73,0.03368,HL
FM 438-6,11 00 22.8,-28 45 44,–,H
FM 47-9,20 42 08.555,-73 37 09.79,0.012589,HL
FM 470-15,23 37 06.555,-29 05 01.53,0.075946,E.Ra
FM 50-4,23 34 27.407,-70 37 53.46,0.012986,HL
FM 50-7,23 46 39.434,-70 22 51.23,–,E.Rb
FM 509-47,13 47 10.309,-22 07 02.24,–,H
FM 531-6,21 34 30.24,-25 28 43.7,0.053964,H
FM 59-12,08 00 03.732,-67 10 17.71,–,H
FM 77-13,23 25 43.235,-67 03 28.58,0.053437,E.Rb
FM 85-1,04 38 39.465,-66 13 58.28,0.048867,E.Rb
FM412-16,01 16 06.015,-32 29 28.87,0.018383,HL
OA 00101,00 05 50.46,-82 20 02.0,–,H
OA 00103,00 24 51.4,-82 11 03,0.042793,HL
OA 00106,02 48 35.8,-79 15 57,–,E.Rb
OA 00110,16 15 20.643,-83 14 10.73,–,E.Rb
OA 00601,20 20 06.9,-70 58 21,–,E.Rb
OA 00801,02 01 45.0,-58 24 57,–,E.Ra
OA 00803,02 02 24.9,-58 29 52,–,H
OA 00901,04 43 25.87,-62 19 25.6,–,E.Ra
OA 01101,02 59 53.152,-57 02 41.95,–,H
OA 01102,06 00 21.405,-57 56 21.00,0.0383,H
OA 01103,22 48 28.103,-58 15 02.16,0.035675,E.Rb
OA 02001,00 27 04.3,-40 57 06,0.148804,CS
OA 02502,06 24 48.777,-37 21 20.57,0.032506,H
OA 02701,01 12 26.60,-19 01 18.0,–,CS
OA 02801,00 51 44.48,-30 37 27.2,–,H
OA 03202,00 47 03.4,-24 21 23,0.05271,E.Rb
OA 03601,21 05 40.093,-25 13 55.12,–,E.Rb
HRG 00204,00 12 38.062,-84 11 23.19,0.055872,HL
HRG 00205,00 18 25.936,-83 06 39.49,0.015124,HL
HRG 00208,00 52 38.780,-82 12 18.11,–,E.Rc
HRG 00211,00 56 39.12,-82 23 34.7,–,HL
HRG 00213,01 32 00.707,-85 10 39.68,0.013486,HL
HRG 00403,04 53 45.476,-82 14 25.48,–,E.Rb
HRG 00406,05 29 25.007,-85 55 43.06,0.015554,E.Ra
HRG 00502,06 23 10.13,-87 35 08.4,–,H
HRG 00507,06 25 47.155,-85 05 51.78,0.041015,E.Rb
HRG 00514,08 14 41.411,-83 37 34.94,–,H
HRG 00705,11 17 26.613,-82 49 41.06,–,E.Rc
HRG 00801,15 48 54.162,-82 59 10.67,–,H
HRG 00901,15 35 36.6,-86 32 48,0.042276,E.Rb
HRG 01001,19 04 35.127,-85 18 58.57,0.045335,H
HRG 01003,19 20 17.5,-84 47 33,0.016845,E.Ra
HRG 01008,20 34 05.793,-84 40 32.18,–,E.Rb
HRG 01102,22 51 35.7,-84 07 14,73,H
HRG 01202,00 22 08.759,-80 47 57.73,–,E.Ra
HRG 01301,01 41 08.027,-79 15 52.98,–,HL
HRG 01404,03 49 47.652,-81 59 26.33,–,HL
HRG 01501,04 04 08.687,-82 20 30.05,0.016321,HL
HRG 01601,04 53 07.710,-81 54 05.14,–,H
HRG 01602,05 32 03.353,-78 47 18.73,0.066313,E.Ra
HRG 01603,05 33 32.814,-77 28 28.89,0.042072,E.Rb
HRG 01604,05 40 02.106,-81 58 53.28,–,E.Ra
HRG 01701,07 27 31.100,-81 15 38.04,0.039217,HL
HRG 01702,07 40 10.032,-80 36 41.47,0.056836,E.Rb
HRG 01704,08 12 04.464,-79 22 40.71,0.01904,H
HRG 01802,09 15 25.364,-80 13 17.50,0.03917,E.Rb
HRG 01803,09 35 01.047,-78 13 00.88,0.01947,HL
HRG 01902,10 28 07.405,-81 46 21.13,–,H
HRG 02202,14 40 27.990,-78 48 33.00,0.015427,E.Ra
HRG 02304,16 54 40.04,-80 03 47.4,0.041999,E.Ra
HRG 02405,18 54 40.393,-78 53 54.40,0.02916,E.Ra
HRG 02502,19 20 48.010,-78 26 19.18,0.051843,HL
HRG 02503,19 33 12.766,-77 54 34.80,0.019423,E.Rb
HRG 02504,20 11 04.578,-78 50 53.87,0.020207,E.Rb
HRG 02602,20 58 21.782,-79 22 59.69,0.04783,H
HRG 02603,21 36 08.152,-77 27 32.67,0.070475,H
HRG 02701,22 26 35.332,-81 13 22.63,0.039044,HL
HRG 02702,23 11 37.295,-80 36 06.59,0.056536,HL
HRG 02703,22 31 03.911,-81 05 19.95,–,E.Rb
HRG 02704,22 32 51.233,-78 47 53.89,0.06285,E.Ra
HRG 03001,02 23 39.758,-76 34 38.15,–,H
HRG 03101,04 00 06.829,-73 42 26.17,0.026298,E.Rb
HRG 03401,06 43 05.967,-74 14 10.37,0.022029,HL
HRG 04901,23 42 26.558,-76 22 24.59,–,H
HRG 05201,01 53 29.701,-72 33 37.77,–,H
HRG 08201,02 41 31.2,-63 38 20,0.055889,E.Rb
HRG 08202,02 55 33.871,-62 31 43.43,0.064875,HL
HRG 08204,03 15 19.064,-64 38 31.74,–,H
HRG 08901,08 20 26.276,-65 20 25.88,0.035491,E.Ra
HRG 10101,16 55 54.792,-64 30 12.50,0.049908,E.Rb
HRG 10103,16 58 20.966,-63 26 08.39,0.039291,HL
HRG 10104,17 06 05.925,-63 27 51.87,0.032302,E.Rb
HRG 10501,19 41 23.892,-62 33 57.59,0.044968,HL
HRG 10502,20 12 26.565,-65 24 57.55,0.050925,H
HRG 10503,20 19 46.853,-66 45 42.60,0.051629,HL
HRG 10901,22 26 54.089,-63 42 51.93,0.041158,HL
HRG 10902,23 19 13,-67 09.4,0.070285,H
HRG 11301,01 07 30.626,-61 20 20.09,0.0264,HL
HRG 11401,02 01 45.492,-58 22 37.88,0.022209,HL
HRG 11602,03 24 53.044,-60 44 18.13,0.0185,HL
HRG 11702,03 58 27.872,-59 31 45.95,–,E.Rb
HRG 11801,04 09 02.618,-59 06 33.15,0.027599,HL
HRG 11802,04 48 53.855,-63 37 18.18,–,HL
HRG 12101,05 58 48.754,-60 03 27.52,–,H
HRG 12102,06 00 21.405,-57 56 21.00,0.0383,HL
HRG 13801,17 29 09.573,-62 26 44.13,0.015481,E.Rb
HRG 14601,22 15 03.5,-58 17 16,0.047826,E.Rc
HRG 15501,02 59 06.475,-57 08 18.71,0.044481,HL
HRG 15703,04 35 12.019,-54 12 20.31,0.040555,HL
HRG 15901,05 17 07.930,-54 04 01.01,0.014136,HL
HRG 15902,05 28 41.649,-56 56 08.12,0.014977,HL
HRG 16001,06 14 30.489,-53 56 29.30,0.035331,HL
HRG 19501,00 48 21.486,-47 52 21.05,0.074702,E.Rb
HRG 19503,01 03 31.720,-47 01 26.78,0.022529,HL
HRG 19504,01 04 56.771,-47 11 10.29,0.138363,HL
HRG 19505,01 05 20.287,-47 12 03.11,0.021929,HL
HRG 19510,01 08 18.632,-47 04 19.57,HL
HRG 19511,01 08 52.397,-47 08 48.72,0.056699,H
HRG 19512,01 09 55.343,-46 59 30.38,0.023349,HL
HRG 19513,01 15 55.234,-50 11 21.92,0.024347,HL
HRG 19514,01 19 28.434,-51 46 47.82,0.031225,HL
HRG 20201,04 16 09.897,-49 13 50.18,–,H
HRG 20202,04 24 31.985,-49 34 29.70,0.042876,HL
HRG 23701,22 09 45.857,-49 47 54.55,0.027179,E.Ra
HRG 23702,22 10 01.355,-49 40 32.65,0.027085,HL
HRG 23801,22 20 51.724,-48 46 29.12,0.030728,E.Rc
HRG 23802,22 33 47.102,-48 01 29.10,0.034944,E.Rb
HRG 24701,02 43 17.082,-42 30 41.16,–,H
HRG 29401,00 20 14.328,-39 55 18.75,0.038113,HL
HRG 30101,03 23 54.321,-37 30 24.31,0.004687,E.Rb
HRG 31601,10 08 40.078,-40 05 36.68,0.016772,HL
HRG 31801,10 45 23.0,-42 31 27,–,E.Rb
HRG 35002,00 37 41.107,-33 42 58.79,0.030187,E.Ra
HRG 35201,01 15 00.844,-32 14 37.82,0.01952,HL
HRG 36101,04 39 38.553,-37 02 57.73,0.040331,HL
HRG 36102,04 44 07.368,-32 54 36.85,–,HL
HRG 36103,04 53 50.312,-33 13 50.17,0.041926,E.Rb
HRG 36104,04 55 18.054,-37 06 21.14,0.03926,H
HRG 37501,10 29 45.615,-38 20 54.71,0.01515,HL
HRG 38301,13 31 43.502,-33 22 49.13,0.025688,HL
HRG 40701,23 11 17.270,-32 27 06.77,0.037783,E.Rc
HRG 41102,00 56 52.416,-31 57 46.63,0.01873,HL
HRG 43701,23 15 32.095,-38 32 08.22,0.007012,E.Ra
HRG 48401,04 16 29.442,-25 03 29.83,0.041919,HL
HRG 48907,06 29 13.921,-26 29 46.55,0.022592,H
HRG 50201,11 02 30.996,-26 10 07.48,0.013216,E.Rb
HRG 51001,14 00 23.7,-23 18 31,0.036559,E.Ra
HRG 54101,01 05 10.438,-22 03 26.83,0.056222,H
HRG 54102,01 12 33.824,-19 00 53.22,–,HL
HRG 56802,10 23 48.358,-21 08 28.45,0.027266,HL
HRG 57201,11 43 13.722,-18 24 04.14,–,HL
HRG 57203,11 54 55.005,-22 03 16.52,0.055722,HL
HRG 57204,11 59 44.432,-20 58 14.98,0.036102,E.Rb
HRG 58201,15 24 03.669,-18 40 57.41,–,HL
IC 0614,10 26 51.837,-03 27 53.22,0.034217,HL
IC 3813,12 50 02.304,-25 55 14.39,0.010857,HL
KIG 0686,15 32 57.3,+46 27 10,0.002188,CS
KIG 0700,15 45 14.4,+00 46 20,0.012806,E.Ra
NGC 0985,02 34 37.882,-08 47 17.02,0.043143,E.Rc
NGC 2793,09 16 45.602,+34 25 54.51,0.005627,E.Ra
NGC 4774,12 53 06.515,+36 49 10.93,0.027823,E.Rc
PRC D-38,22 28 53.9303,-24 43 44.127,0.055932,E.Rc
VII Zw 466,12 32 05.0,+66 24 12,0.048333,E.Rc
VV 256,14 00 54.565,+40 59 18.14,0.012445,E.Ra
